source_sheet,source_row,original_keyword,normalized_name,candidate_sido,candidate_sigungu,candidate_parent,region_type,evidence,confidence,status,unresolved_reason,reason
전북,5,군산시,군산시,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,6,익산시,익산시,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,7,정읍시,정읍시,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,8,남원시,남원시,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,9,김제시,김제시,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,10,완주군,완주군,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,11,진안군,진안군,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,12,무주군,무주군,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,13,장수군,장수군,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,14,임실군,임실군,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,15,순창군,순창군,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,16,고창군,고창군,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
전북,17,부안군,부안군,전북특별자치도,,전북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,4,경주시,경주시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,5,김천시,김천시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,6,안동시,안동시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,7,구미시,구미시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,8,영주시,영주시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,9,영천시,영천시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,10,상주시,상주시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,11,문경시,문경시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,12,경산시,경산시,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,13,의성군,의성군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,14,청송군,청송군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
경북,15,영양군,영양군,경상북도,,경북,administrative,"{""source_sheet_match"": true, ""original_string_parent"": false, ""neighbor_block_match"": false, ""same_sheet_pattern_match"": true, ""school_evidence_match"": false, ""official_reference_match"": true}",high,confirmed,,Strong direct official match under the source-sheet jurisdiction.
