source_sheet,source_row,original_keyword,normalized_region_name,candidate_sido,candidate_sigungu,candidate_parent,match_method,confidence,reason,status,candidate_parents,region_id,parent_region_id
제주도,11,일도1동,일도1동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-1,
제주도,12,일도2동,일도2동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-2,
제주도,20,화북동,화북동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-d654-bd81-b3d9,
제주도,21,삼양동,삼양동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c0bc-c591-b3d9,
제주도,23,아라동,아라동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c544-b77c-b3d9,
제주도,24,오라동,오라동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c624-b77c-b3d9,
제주도,27,외도동,외도동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c678-b3c4-b3d9,
제주도,28,이호동,이호동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c774-d638-b3d9,
제주도,29,도두동,도두동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-b3c4-b450-b3d9,
제주도,36,정방동,정방동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c815-bc29-b3d9,
제주도,38,천지동,천지동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-cc9c-c9c0-b3d9,
제주도,39,효돈동,효돈동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-d6a8-b3c8-b3d9,
제주도,43,대륜동,대륜동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-b300-b95c-b3d9,
제주도,46,예래동,예래동,제주특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c81c-c8fc-b3c4-kr-c608-b798-b3d9,
