page_id,region_id,keyword,sheet,row,route,status
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c911-ace1-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c911-ace1-b3d9,중곡동과외,서울,76,/tutor/seoul-kr-c911-b791-ad6c-kr-c911-ace1-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-d654-c591-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-d654-c591-b3d9,화양동과외,서울,77,/tutor/seoul-kr-c911-b791-ad6c-kr-d654-c591-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ac00-b9ac-bd09-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ac00-b9ac-bd09-b3d9,가리봉동과외,서울,78,/tutor/seoul-kr-c911-b791-ad6c-kr-ac00-b9ac-bd09-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ac1c-bd09-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ac1c-bd09-b3d9,개봉동과외,서울,79,/tutor/seoul-kr-c911-b791-ad6c-kr-ac1c-bd09-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ace0-cc99-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ace0-cc99-b3d9,고척동과외,서울,80,/tutor/seoul-kr-c911-b791-ad6c-kr-ace0-cc99-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ad6c-b85c-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ad6c-b85c-b3d9,구로동과외,서울,81,/tutor/seoul-kr-c911-b791-ad6c-kr-ad6c-b85c-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ad81-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ad81-b3d9,구로구 궁동과외,서울,82,/tutor/seoul-kr-c911-b791-ad6c-kr-ad81-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c2e0-b3c4-b9bc-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c2e0-b3c4-b9bc-b3d9,신도림동과외,서울,83,/tutor/seoul-kr-c911-b791-ad6c-kr-c2e0-b3c4-b9bc-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c624-b958-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c624-b958-b3d9,오류동과외,서울,84,/tutor/seoul-kr-c911-b791-ad6c-kr-c624-b958-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c628-c218-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c628-c218-b3d9,온수동과외,서울,85,/tutor/seoul-kr-c911-b791-ad6c-kr-c628-c218-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-cc9c-c655-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-cc9c-c655-b3d9,천왕동과외,서울,86,/tutor/seoul-kr-c911-b791-ad6c-kr-cc9c-c655-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-d56d-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-d56d-b3d9,구로구 항동과외,서울,87,/tutor/seoul-kr-c911-b791-ad6c-kr-d56d-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ac00-c0b0-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ac00-c0b0-b3d9,가산동과외,서울,88,/tutor/seoul-kr-c911-b791-ad6c-kr-ac00-c0b0-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-b3c5-c0b0-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-b3c5-c0b0-b3d9,독산동과외,서울,89,/tutor/seoul-kr-c911-b791-ad6c-kr-b3c5-c0b0-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c2dc-d765-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c2dc-d765-b3d9,시흥동과외,서울,90,/tutor/seoul-kr-c911-b791-ad6c-kr-c2dc-d765-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-acf5-b989-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-acf5-b989-b3d9,공릉동과외,서울,91,/tutor/seoul-kr-c911-b791-ad6c-kr-acf5-b989-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c0c1-acc4-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c0c1-acc4-b3d9,상계동과외,서울,92,/tutor/seoul-kr-c911-b791-ad6c-kr-c0c1-acc4-b3d9/region_tutor,HOLD_CONTENT
